ACCESSION,Phenotype,TREATMENT,SEM_RN_mean,N1_RN_mean,N2_RN_mean,N3_RN_mean,N4_RN_mean,N5_RN_mean,N6_RN_mean,SEM_Angle_mean,N1_Angle_mean,N2_Angle_mean,N3_Angle_mean,N4_Angle_mean,N5_Angle_mean,N6_Angle_mean,Aper,Nitrogen_treatment,Tag,density,respiration,Optimal_N,Min_N,Optimal_P,Min_P,Pho_treatment,Diameter_scaling
10_170,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.049642232,1098.12339,667.2033268,60,30,6,0.853530887
10_220,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.042958398,1078.7241,653.6772137,60,30,6,0.892031104
10_270,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.036274565,1059.324811,640.1511005,60,30,6,0.930531322
10_320,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.029590732,1039.925521,626.6249874,60,30,6,0.96903154
10_370,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.022906898,1020.526231,613.0988742,60,30,6,1.007531757
10_420,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.016223065,1001.126942,599.5727611,60,30,6,1.046031975
12_170,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.054685352,1127.276789,717.4165264,60,30,6,1.008885823
12_220,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.048001518,1107.8775,703.8904133,60,30,6,1.047386041
12_270,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.041317685,1088.47821,690.3643002,60,30,6,1.085886259
12_320,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.034633852,1069.07892,676.838187,60,30,6,1.124386476
12_370,NA,10,5,3,4,5,6,14,20,90,160,150,140,130,130,140,0.1,0.445,P1,0.094,0.027950018,1049.679631,663.3120739,60,30,6,1.162886694
